record_id,timestamp,api_name,endpoint,status_code,status,failure_reason,response_time_ms,cpu_usage_percent,memory_usage_percent,network_latency_ms,uptime_percent,request_count,error_count,downtime_minutes,incident_severity,server_region,predicted_health_status,failure_label
1,2026-03-17 01:43:32,Billing API,/v1/service/38,429,Failure,API Rate Limit Exceeded,577.65,49.62,68.63,155.51,97.87,4567,16,135.53,High,India,High Risk,1
2,2026-03-17 02:13:32,Inventory API,/v1/service/49,200,Success,,266.32,43.67,41.13,783.96,96.91,5065,0,0.0,Low,Europe,Healthy,0
3,2026-03-17 02:43:32,Search API,/v1/service/14,200,Success,,2150.21,64.3,65.94,1068.34,95.3,4230,0,0.0,Low,Australia,Healthy,0
4,2026-03-17 03:13:32,GitHub API,/v1/service/2,200,Success,,4194.47,52.87,28.76,1170.78,98.09,8990,0,0.0,Low,US-East,Healthy,0
5,2026-03-17 03:43:32,Inventory API,/v1/service/17,400,Failure,Malformed Request Payload,4481.12,17.08,72.0,1047.93,95.78,9368,72,72.09,Medium,Europe,Likely Failure,1
6,2026-03-17 04:13:32,Search API,/v1/service/38,500,Failure,Internal Server Error,1469.97,50.82,52.37,634.57,99.96,7299,92,19.28,Critical,US-East,Likely Failure,1
7,2026-03-17 04:43:32,Stripe Payment API,/v1/service/26,429,Failure,API Rate Limit Exceeded,2399.76,62.22,77.58,82.01,95.66,3162,14,32.09,Medium,Australia,Critical Risk,1
8,2026-03-17 05:13:32,Authentication API,/v1/service/49,200,Success,,3834.53,32.57,47.33,243.83,95.86,4686,0,0.0,Low,Singapore,Healthy,0
9,2026-03-17 05:43:32,CRM API,/v1/service/19,502,Failure,Bad Gateway,4713.25,36.06,29.59,58.44,98.89,286,77,15.89,High,India,Likely Failure,1
10,2026-03-17 06:13:32,Search API,/v1/service/34,200,Success,,4521.05,14.33,32.16,958.43,97.38,5809,0,0.0,Low,US-West,Healthy,0
11,2026-03-17 06:43:32,Analytics API,/v1/service/44,200,Success,,1734.07,75.75,53.16,763.42,98.72,4794,0,0.0,Low,Singapore,Stable,0
12,2026-03-17 07:13:32,Analytics API,/v1/service/17,200,Success,,4035.73,63.13,47.02,555.87,96.31,9468,0,0.0,Low,US-East,Stable,0
13,2026-03-17 07:43:32,Chat API,/v1/service/37,200,Success,,3032.54,89.45,76.6,352.38,97.63,625,0,0.0,Low,Europe,Stable,0
14,2026-03-17 08:13:32,Order API,/v1/service/3,429,Failure,API Rate Limit Exceeded,1756.91,31.98,25.8,1003.14,98.67,4599,82,154.85,Critical,Europe,High Risk,1
15,2026-03-17 08:43:32,Video Streaming API,/v1/service/37,200,Success,,2345.88,19.64,74.31,185.89,95.83,2113,0,0.0,Low,Europe,Healthy,0
16,2026-03-17 09:13:32,Billing API,/v1/service/24,201,Success,,4823.8,85.89,51.3,889.33,96.27,4158,0,0.0,Low,Singapore,Healthy,0
17,2026-03-17 09:43:32,OpenWeather API,/v1/service/20,504,Failure,Gateway Timeout,648.35,31.04,68.18,1038.12,98.24,3139,87,110.21,Medium,Singapore,Critical Risk,1
18,2026-03-17 10:13:32,Email Service API,/v1/service/19,500,Failure,Internal Server Error,3616.24,19.02,80.37,521.37,99.9,5963,56,36.01,High,Europe,Critical Risk,1
19,2026-03-17 10:43:32,Google Maps API,/v1/service/27,200,Success,,2355.71,23.85,82.85,554.06,97.05,1781,0,0.0,Low,US-East,Stable,0
20,2026-03-17 11:13:32,Video Streaming API,/v1/service/20,200,Success,,446.23,83.45,42.98,535.85,98.39,5600,0,0.0,Low,US-East,Stable,0
21,2026-03-17 11:43:32,Analytics API,/v1/service/24,504,Failure,Gateway Timeout,1934.29,51.18,22.19,208.7,95.67,774,46,21.51,High,Europe,Critical Risk,1
22,2026-03-17 12:13:32,Stripe Payment API,/v1/service/50,401,Failure,Invalid Authentication Token,2432.58,39.77,55.9,307.77,95.84,6549,43,8.4,High,Europe,Likely Failure,1
23,2026-03-17 12:43:32,User Service API,/v1/service/23,401,Failure,Invalid Authentication Token,857.91,86.55,45.24,288.13,95.53,2950,78,10.16,Critical,US-East,Likely Failure,1
24,2026-03-17 13:13:32,Google Maps API,/v1/service/46,401,Failure,Invalid Authentication Token,910.01,44.3,47.22,373.75,95.89,1143,71,154.63,Medium,Australia,Likely Failure,1
25,2026-03-17 13:43:32,Inventory API,/v1/service/28,500,Failure,Internal Server Error,3380.69,71.91,78.21,310.78,95.92,3706,48,37.65,High,US-West,High Risk,1
26,2026-03-17 14:13:32,Order API,/v1/service/44,429,Failure,API Rate Limit Exceeded,4118.69,36.11,79.3,362.42,96.72,6997,27,100.84,Medium,Australia,Critical Risk,1
27,2026-03-17 14:43:32,CRM API,/v1/service/37,401,Failure,Invalid Authentication Token,2680.59,94.89,52.41,110.03,99.34,4142,84,108.38,High,Europe,Critical Risk,1
28,2026-03-17 15:13:32,HR API,/v1/service/45,502,Failure,Bad Gateway,1151.92,17.58,81.86,428.57,98.65,7589,82,59.02,High,Australia,Critical Risk,1
29,2026-03-17 15:43:32,OpenWeather API,/v1/service/40,200,Success,,1551.26,32.06,61.37,1131.03,97.52,1861,0,0.0,Low,US-East,Stable,0
30,2026-03-17 16:13:32,Order API,/v1/service/26,200,Success,,2767.64,10.85,67.53,802.23,97.11,7548,0,0.0,Low,Singapore,Healthy,0
31,2026-03-17 16:43:32,Authentication API,/v1/service/37,200,Success,,2031.54,51.7,21.86,556.97,96.58,3893,0,0.0,Low,Europe,Stable,0
32,2026-03-17 17:13:32,Chat API,/v1/service/28,200,Success,,4406.35,48.33,72.45,140.68,98.02,5090,0,0.0,Low,US-West,Stable,0
33,2026-03-17 17:43:32,Email Service API,/v1/service/49,401,Failure,Invalid Authentication Token,4112.78,83.6,94.37,322.96,98.84,6067,4,91.22,Critical,Singapore,Likely Failure,1
34,2026-03-17 18:13:32,User Service API,/v1/service/31,200,Success,,3542.98,63.71,63.19,40.15,95.67,2696,0,0.0,Low,Singapore,Stable,0
35,2026-03-17 18:43:32,Order API,/v1/service/34,401,Failure,Invalid Authentication Token,4765.8,72.77,65.03,225.26,95.69,3442,15,125.85,Critical,US-East,High Risk,1
36,2026-03-17 19:13:32,Recommendation API,/v1/service/29,200,Success,,782.6,42.56,36.39,555.6,97.43,4239,0,0.0,Low,US-East,Stable,0
37,2026-03-17 19:43:32,Search API,/v1/service/42,500,Failure,Internal Server Error,4520.66,40.25,34.67,1088.26,94.6,1570,66,57.44,High,US-East,Critical Risk,1
